question,answer
How is crude oil formed?,"Crude oil is formed from accumulations of small organisms, mostly phytoplankton and zooplanton that are buried in sediments in both marine and lacustrine (fresh water) environments. Other organic material is mixed in such as spores, pollen, woody material, and other material such as fecal pellets from marine organisms. These materials often settle through the water into an organic-rich mud that is very low in oxygen (anaerobic) so there are few organisms to feed on the material  and it accumulates over long periods of time. Rivers contribute to this process by both delivering large quantities of organic matter, and also large amounts of sediment to bury this organic matter. \n\nOver time these clay-rich sediments are buried under thousands of feet of sediments, dewatered by pressure from the overlying sediment and become shale. As the shale is buried its temperature increases due to geothermal warming. When it reaches temperatures and pressures of 140 degrees F. (60 C) it begins to convert to oil. As temperature increases from continuing burial processes it reachs a temperature where it begins to form natural gas. Both the oil and the gas are gradually expelled from the shale. Typically shales are found in depostional settings where they may be interbedded with sandstones. Sandstones will have higher porosity (more and bigger holes) than shale and the oil and gas will displace salt water that is remaining in the sandstones. Eventually the oil and gas migrates upward through the water and if the overlying structure has formed some sort of a trapping configuration, (like a sandstone overlain by an impervious shale, or a fault that has created a seal against the sandstone, then this becomes an oil reservoir. \n\nA very similar process occurs in carbonate rocks, like limestone and dolomite, except the organic material originates within the carbonate rock in many instances. If the carbonate reef (for example) has been buried by an impervious layer of shale or carbonate mud of a sabkha, it  will become an oil reservoir.  In other instances, the source of the oil will be a shale that is below the carbonate rocks, and the oil will migrate upward into this reservoir."
Is there a way to substitute sleep?,"there is no heathy way to substitute sleep,take it from a nurse/insomniac"
distance between earth and san?,"I am going to assume you mean the distance between the Earth and Sun. The average distance is 92,955,807 miles or 1 AU(astronomical unit). \n\nThe earth orbit is not in a perfect circle it is an elliptical orbit so the sun varies in distance. On December 21 the sun will be apx 91,096,690 miles from the earth and on June 21 the sun will be at a distance of apx 94814923 miles from the earth."
i want make a invitation letter for council or embassy?,e-mail them!\n\nThe greater your motivation the best will be your chance!\n\nThey won't accept
"An entomologist noted that in the past 5 years in the local forest preserve, the population of bees decreased?","35% of 35 active hives is 35 x 0.35 = 12.25 hives. So if the number of active hives have decreased by 12.25 hives, then the remaining number of active hives is 35 - 12.25 = 22.75 hives. \n\nIt may not be possible to have a partial number of hives, in which case we might say that most likely 23 hives remain (this corresponds to a 34.3% drop in bee population as opposed to 37.1% drop had the number of hives fallen to 22)."
Why is the sweet flavor so good?,"Sweet tastes good because sweetness in fruit is an indicator of ripeness, and ripe fruit is the most nutritious.  So, once upon a time, a sweet tooth was an evolutionary advantage -- those who enjoyed sweetness sought out the most ripe fruit and had the healthiest diets.  With healthier diets, they survived the longest and passed their genes on to the most offspring. \n\nIronic.  Our appreciation for sugar is actually rooted in good nutrition.\n\nToday, we have extracted sugar from fruit, and for a human being it is no longer conducive to a healthy diet.  In fact, our craving for sugar now has the opposite effect."
Who is the next Super Power ?,"To be a super power, a country needed to be very strong militarily, economically and in global values.\n\nThe People's Republic of China is often considered a rising major power due to its large and stable population, its rapidly growing economy, and its rapidly growing military spending and capabilities.\n\nSimilar to China, India has a population of over one billion, nuclear weapons, the world's 2nd largest land-force and 4th largest airforce, as well as a thriving economy (4th largest in PPP). India also enjoys the advantage of a large and well-educated English-speaking workforce. The biggest obstacle: India is still a ""developing"" country in many respects with poor infrastructure, a huge poor and under-educated lower class that has a tremendous gap with the middle and upper classes; widespread corruption, brain-drain, social and ethnic tensions as well as potential conflict with its neighbor and rival, Pakistan. Despite India's widespread poverty, the Indian middle class consists of approximately 200 million people and poverty levels have been falling consistently since the '90s, though in rural areas, where most Indians still live, there has been little improvement. Today, approximately 20% of India's population lives in absolute poverty. It is thought that India's democratic foundations ensure some kind of long term government stability.\n\nRussia still possesses some attributes of a world power, notably including the world's largest arsenal of nuclear weapons, inherited from the USSR. It also has the proven ability to conduct manned space travel. Perhaps most importantly, it is the geographically largest country of the world and has control over a variety of strategic raw materials. Russia still has a clear capacity for destructive force, which in light of the current delicate political situation is not calculable beyond the medium-term. As one of the five permanent members of the UN Security Council, Russia also has notable political influence in the world. However, Russia's economy is generally thought to be unstable and less competitive on a global scale. The population has been shrinking since the fall of the Soviet Union and is predicted to fall even lower within the next 10 years, due to drastically shortened life expectancies since 1990 and falling birthrates. Life in what was one of the safest places in the world has become rife with danger and insecure for most people. Furthermore, Russia is unable to control Chechen separatism and terrorism that is threatening neighbouring areas in the south and could lead to the break up of the south of the country. Russia is also unable to prevent illegal Chinese immigration into Asian Russia which may cause the eventual loss of that mineral rich region. A major brain drain of Russia's vast coterie of high quality scientists and engineers, a legacy of its excellent Soviet era education system, is also occurring and undermining Russia's long term economic development. Out of control post Soviet corruption diverts vast sums of government resources away from valuable programs. Corruption is also endemic in its business sector."
Do you think that GOD may be some aliens who came to our earth when our civilization was very primitive?,I think you have watched too many x-files Ü
how much dose it cost to run a pc for 24 7?,"It probably costs about 10 cents per kilowatt-hour to run a PC 24/7, depending where you live.  Most electronic gear is labeled with the power requirements in watts.  Just multiply that by 24 to get the watts per day and divide by 1,000 to get kilowatts.  For example, a 100 watt load times one hour equals 100 watt-hours and multiplied by 24 hours equals 2,400 watt-hours per day.  Dividing 2,400 watt-hours by 1,000 equals 2.4 KW-hours (kilowatt-hours) per day.  This would cost 2.4 time 10 cents or about 24 cents.  Of course, the PC and the monitor each need to be calculated separately.  Also, if the PC is not in constant use it may go into ""sleep mode"" reducing the power drain.  I read that some people never shut off their PC's because re-starting them may subject the chips to frequent power surges reducing chip life.  In the winter, I consider that the power consumed by my PC helps heat the house.  What is the difference between a 1,000 watt electrical load such as the cooking range vs a 1,000 watt electric heater?  Only the location.  Good luck."
how far is the earth from the sun?,"The Earth is 1 A.U. (Astronomical Unit) from the sun, which is approximately 92.8 million miles.\n\nSee http://www.astroleague.org/al/astrnote/astnot18.html for some more information on solar system relationships."
Who do i sue in the case that my air bag did not deploy in a car accident?,depends..was the car owned since brand new?..was it bought from a dealership?...was it in previous accidents?..if so have the air bags been replaced since then?...many more variables ....ask lawyer
do you believe in ufo's/extraterrestial has visited our planet?,"Yes, ET's have been here for a very long time if you can believe all thats recorded in history, if you look closely there seems to be all sorts or paintings , drawings, carvings.all through the history of mankind...I have wittnessed several objects throughout my lifetime..and if anything..from what I have wittnessed...there seems to be an increase..perhaps they are comming around more frequently...makes ya go ""Hmmm..."""
what is the measure of how much surface an object has?,"SURFACE AREA\n\n\nSurface area is the area of a given surface. Roughly speaking, it is the ""amount"" of a surface (i.e., it is proportional to the amount of paint needed to cover it), and has units of distance squared. Surface area is commonly denoted  for a surface in three dimensions, or  for a region of the plane (in which case it is simply called ""the"" area). \n\n\n\n\nSurface area refers to the summation of the areas of the exposed sides of an object.\n\nUnits\nUnits for measuring surface area include:\n\nsquare metre = SI derived unit \nare = 100 square metres \nhectare = 10,000 square metres \nsquare kilometre = 1,000,000 square metres \nsquare megametre = 1012 square metres \nImperial units, as currently defined from the metre:\n\nsquare foot (plural square feet) = 0.09290304 square metres. \nsquare yard = 9 square feet = 0.83612736 square metres \nsquare perch = 30.25 square yards = 25.2928526 square metres \nacre = 160 square perches or 43,560 square feet = 4046.8564224 square metres \nsquare mile = 640 acres = 2.5899881103 square kilometres \nThe article Orders of magnitude links to lists of objects of comparable surface area.\n\n\nUseful formulae\nArea of a rectangle (and, in particular, a square): length × width \nArea of a triangle: ½ × base × height \nArea of a disk: π × r² \nArea of a sphere: 4 × π × r² \nTotal surface area of a right circular cylinder: 2 × π × r × (h + r) \nLateral surface area of a right circular cylinder: 2 × π × r × h \nTotal surface area of a right circular cone: π × r × (l + r) \nLateral surface area of a right circular cone: π × r × l"
Is there a connection between the phases of the moon and earthquakes or volcanos?,"Yes, there should be a weak connection between phases of the moon and earthquakes or volcanoes.  Both earthquakes and emerging volcanoes depend on growing stress within the earth.  The moon can raise tides both in the crust of the earth and the oceans, affecting weight of water over portions of the earth.  The moon tide can serve as the straw that breaks the camel's back causing an event to happen slightly sooner than it would anyway.  Of course phases of the moon deal with the reflection of the sun's light relative to the positions of the sun, moon and earth.  Because the ocean tides (and crustal tides) also depend on these same positions where the sun either works with or against the moon), the phase of the moon can slightly affect the weight of the straw that breaks the camel's back."
What does a hazard action #5 law mean? I live in monroe county michigan and was involved in an accident?,"The term ""hazard action"" appears nowhere in the Michigan Compiled Law Service.  You'll have to be more specific about the nature of the offense listed on the ticket, or you'll have to call the jurisdiction that issued the ticket to find out which specific code was violated in the accident.  Otherwise, I'm afraid that ""hazard action #5"" isn't very helpful."
"the functional group in butanoic acid, which is an organic acid, is the BLANK?","Carboxyl group: -COOH.  FYI, this question should probably be listed under chemistry,"
Is there any treatment for increased levels of 'floaters' in the eyes?,"It's important to get this checked out by an eye doctor. Sometimes people get floaters and it's not big deal, sometimes they go away, sometimes not, and it's not harmful. Other times, it can be a sign of something more serious. If you see any flashes of light, go immediately to a doctor (might even be cause to go to an emergency room) because that is a sign of a detaching retina (which can make you blind). In other cases, the floaters can be caused by something called neovascularization, which means new blood vessels forming in the eye. This really shouldn't happen, and can be corrected with lasers. I'm told it's not very uncomfortable. If you are diabetic,  this is a risk.\n\nSome causes of floaters that I am aware of: neovascularization causing distortions because the new blood vessels may cause a blind spot on the retina (laser treatment is a possibility); a small bleed in the vitreous that casts a shadow on the retina (may resolve in time, but needs to be checked still); the vitrous can pull away from the retina as a person ages, sometimes leaving a bit of debris, more common in people who are myopic (may resolve in time, not much to be done about it, but needs to be checked to make sure there isn't traction pulling on the retina, which can cause a detached retina).\n\nIn any case, just get it checked out right away. If there is a problem, it can probably be treated before it gets worse. Better sooner than later. Good luck."
Why is the sky blue?,"the color blue is due to the enission spectrum of the light comming from the sun \nthats why when the sun changes position the color of the sky changes\nby the way blue sky means the atmosphere cuz in outer space every time u go ""up"" u will get away & away from the sun so it will be total darkness"
I want to do a science project about diesel engines .Is there any site introducing new projects in this field?,I liked the Opel site. Opel 1.3 CDTI ECOTEC\nInternational Engine of the Year 2005\n1.0 – 1.4 litre Class
can a rain garden filter or bioretention be use for commercail purposes in water treatment plant?,yes
Anyone know how to move things with your mind or any stories you might have heard on have to achieve this?,"You may never achieve telepathy, but maybe the next best thing will do.  Do a search on ""mind switch"".\n\n\nGood luck."
Dual citizenship?,"You can only have dual citizenship if your father was a citizen or your mother was a citizen, and your father was unknown or stateless. Even then, you would have to choose which citizenship you wanted by the time you turned 22."
CHILD CUSTODY LAWS WITHOUT MARRIAGE?,"Consult an attorney in your state.  The most important consideration is that the Court will both assign child custody and re-visit child support on the basis of the standard ""best interest of the child.""  In short, you will need to show that placing custody with you, and not with the other parent, is in the best interest of the child."
Why only ATP and GTP (in some cases) is energy giving molecule.?,"You know what you are asking here can't reallly be answered. The reason ATP is the main energy source is because that's what happened through the process of evolution. And, as you know, there is no way to determine WHY something happened when it comes to evolution -- despite what the intelligent design advocates will tell you. All you can say, based on the ubiquitious nature of ATP's usage as the main energy carrier throughout most living organisms, is that ATP became the preferred energy carrier very early on in evolutionary time. Probably going back as far as the last universal common ancestor (LUCA)."
What's the name of the nearest star?,"It's Proxima Centauri, in the Alpha Centauri system.  Approximately 4.22 light years away.  [Good answer, Bron.  I applaud you.]"
What rights do American citizens under the age of 18 have?,under 18 years of age all you can expect are the common humanitarian rights.  But your pretty much accountable to your parents for everything.
Do your finger nails continue to grow after you die?,"Nope. And your hair doesn't continue to grow either. What happens is that as the body decays the skin shrinks, kind of pulling on the nail beds revealing more nail (or the scalp, if you think the hair thing)."
TIME PERIOD THAT ANCIENT GREECE MOST INFLUENCED THE WORLD?,The period from 600 B.C and for like a thousand years more so it ends around 300 or 400 after christ.although greece had an important role with byzantioum and greeks affected romans with their spirit in the Roman Empire.after turks came in greece it just couldn't move on.
"If ""Asian"" has replaced ""Oriental"" as the politically correct term.... (see below)?","Being PC is intended mainly to not offend PEOPLE.  Not really a matter of fact for zoology.\n\nthe name of an item, is rarely at risk of PC police except when it can offend a person.  Chances are if for some reason it offends an asian person to call it oriental, then they'll call it say 'Psudo-asian-descented cockroach' lol :)"
Does the Universe have an end?,yes and no - it is curved but the original singularity is still expanding...
canadian family law?,What a well asked question!
who is edison?,"""Thomas Alva Edison (February 11, 1847 – October 18, 1931) was an inventor and businessman who developed many important devices. ""The Wizard of Menlo Park"" was one of the first inventors to apply the principles of mass production to the process of invention. Edison is considered the most prolific inventor, holding 1,093 patents in his name. Some of these inventions were not completely original but improvements of earlier patents (most famously the Light Bulb), and were actually works of his numerous employees. Edison was sometimes criticized for not sharing the credit, but it was understood by his experimenters that all work was the property of their employer. Nevertheless, Edison received patents worldwide, including the United States, United Kingdom, France, and Germany. Edison started the Motion Picture Patents Company, which was a conglomerate of nine major film studios (commonly known as the Edison Trust)."""
What is the religious breakdown for the population of the United States?,"The United States is a very racially diverse country. According to the 2000 census, it has 31 ethnic groups with at least one million members each, and numerous others represented in smaller amounts.\n\nThe majority of Americans descend from white European immigrants who arrived at the establishment of the first colonies (most after Reconstruction). This majority--69.1% in 2000--decreases each year, and is expected to become a plurality within a few decades. The most frequently stated European ancestries are German (15.2%), Irish (10.8%), English (8.7%), Italian (5.6%) and Scandinavian (3.7%). Many immigrants also hail from Slavic countries such as Poland and Russia. Other significant immigrant populations came from eastern and southern Europe and French Canada.\nTop ancestries in 2000.\nEnlarge\nTop ancestries in 2000.\n\nHispanics from Mexico and South and Central America are the largest minority group in the country, comprising 12.5% of the population (2000 census). People of Mexican descent made up 7.3% of the population in the 2000 census, and this proportion is expected to increase significantly in the coming decades.\n\nAbout 12.3% (2000 census) of the American people are African Americans (Blacks). African Americans are spread throughout the country, but their presence is largest in the South.\n\nAsian Americans--including Native Hawaiians and Pacific Islanders--are a third significant minority (3.7% of the population in 2000). Most Asian Americans are concentrated on the West Coast and Hawaii. The largest groups are immigrants or descendants of emigrants from the Philippines, China, India, Vietnam, South Korea, and Japan."
What is the Free State Project?,"The Free State Project is an agreement among 20,000 pro-liberty activists to move to New Hampshire, where they will exert the fullest practical effort toward the creation of a society in which the maximum role of government is the protection of life, liberty, and property."
What is the capital of Brazil?,"Brasilia\n\nBrasília is located in a Federal District, created from the state of Goiás in the Mid-West region of the country. The District is bordered by the Preto River in the east and by the Descoberto River to the west. Brasília is situated on a 1000 m high plateau called the Planalto Central. The city is located at 15°45' South, 47°57' West (-15.75, -47.95). Brasilia is 207 km from Goiânia; 1,531 km. from Salvador; 716 km. from Belo Horizonte; and 1,015 km. from São Paulo."
what is 3n - 16 <or = 8n + 29?,3N-16<8N+29 MOVE THE 3N OVER WITH THE 8N THEN YOU SHOULD HAVE -16<5N+29 ...THEN MOVE OVER THE THE 29 SO -29-16< 5N ....THE YOU HAVE -45<5N THE DIVIDE 45 BY 5 AND YOU GET -9>N IF YOU DO IT WITH ADDITION YOU DO IT THE SAME WAY BUT YOUR ANSWER WILL BE -9=N
Who is uptinson clair?,"Do you mean Upton Sinclair?\n\nUpton Sinclair, Writer  \n\n    * Born: 20 September 1878\n    * Birthplace: Baltimore, Maryland\n    * Died: 25 November 1968\n    * Best Known As: Socialist author of 1906's The Jungle\n\nUpton Beall Sinclair was a prolific American writer known for his affiliation with socialism and famous for his 1906 novel, The Jungle. Sinclair was born in Baltimore, but his family moved to New York when he was a child. When he was a teenager he began writing brief bits for newspapers and magazines. The Jungle was his sixth novel, and its success made him nationally famous. An exposé of the Chicago meatpacking industry, the book helped change national regulations on food preparation and earned him enough money to establish the Helicon Home Colony, a socialist community in New Jersey. Although the community only lasted about a year (it burned down in 1907), Sinclair remained committed to social causes and to exposing the dangerous effects of capitalism in realistic fiction, essays and various other writings. In 1915 he moved to California, where he ran unsuccessfully for public office several times, including running for governor as a Democrat in 1934. In the 1940s Sinclair again had popular success with the ""Lanny Budd"" series of novels, beginning with World's End (1940) and including the Pulitzer Prize-winning Dragon's Teeth (1942). In 1953 Sinclair moved to Arizona, where he continued to write books, including working his 1932 autobiography, American Outpost, into The Autobiography of Upton Sinclair (1962).\n\nHe is not related to Canadian broadcaster Gordon Sinclair.\n\nFOUR GOOD LINKS\n\n    * Upton Sinclair\n      Good general summary of his career\n    * The California EPIC Movement, 1934\n      Historical pieces about Sinclair's bid for governor\n    * Upton Sinclair\n      Letters from Jack London and the text of The Jungle\n    * Upton Sinclair\n      Hyperlinked biographical essay"
how far is the earth from the sun?,"The Earth is 1 A.U. from the sun, which is approximately 92.8 million miles."
how can u describe a democratic government?,"A true democracy never has existed and never will.  A true democracy implies that everyone has a vote on everything.  Now when teacher says that ancient Greece was a democracy that isn't the truth, because women, children, slaves, and convicts were prohibited from voting.  Even in the Greece example they had a council to handle the day to day ruling of the city-state.\n\nA true democracy would never have a ruling council.\n\nBy the way the US is  a Federal Republic"
How do I get certified to marry people?,Check out ULC FAQ pages
What does the bacteria Spirillum do?,"Spirillum bacteria are thought to have been first described by van Leeuwenhoek in the 1670s.\nThey get their name from the spiral shape.  They usually possess bipolar tufts of flagella.  For very much more details, see the references below:"
Should we pull out of Washington?,"I agree wholeheartedly, but only if we leave all of the politicians, along with the thugs.  Everyone else can withdraw immediately, including the families of the thugs and politicians.  Hurricane Katrina survivors can house the families of the politicians and corporate sponsors can take care of the families of the thugs.  Washinton,D.C. will have to be permanently sealed off as the dangerous jungle it is (after all, politicians roam free there) and no one allowed to ever escape it!  Our country will thrive once freed of the corrupt influence of the ""Federal Government""."
who will be the 2008 democrat nominee for president?,There are two possible choices:\n1. Al Gore.\n   His No.2 man Barrack Obama\n\n2.Hillary Clinton\n  No.2 is unknown\n\nManny claim John Edwards or John Kerry might also run.
What is the capital of Ohio?,Columbus
what is time?,the continuum of experience in which events pass from the future through the present to the past
"what came first God or dinosaurs, how come the bible does not talk about dinosaurs?","Some of these answers are clear evidence, that God also created brainwashing...\n\nDinosaurs have been extinct for appx.65-70 million years, after an asteroid landed in the Gulf of Mexico near Belize, and put the earth into darkness for 4-6 years. Geologists excavating strata all over the world have proved this. Without light, most plants could not grow, and without vegetation all of the large dinosaurs which depended on this as a food source, died out...\n\nThe first Homo genus (Man) did not arrive until about 2 million years ago, and if you must know, the first members on our ""Family Tree"" were rodents (Mice & Rats). They survived underground long enough, and continued to adapt. That is why we do medical testing on mice, because they are so much like we are, in fact, they are 99% genetically identical to humans...\n\nThe history of Bible stories begins at the earliest 10,000 years ago, and it is basically a history and chronology of recorded human civilizations, from that point in time forwards. The reason Genesis is so vague, is because it is intended to be poetic, not scientific, and because humans were not around 20 Billion years ago when the universe (Heavens)came into existence, nor were we around 4.6 Billion years ago, when our Solar System (earth) was created..."
will it now on new year?,"i'm guessing you mean ""will it snow on new years."" Obviously it depends on location, but if you go to http://www.weather.com/ and type in your zip code, you can find the weather forecast for New Year's."
Whats a Golden Shellback?,"A person who has crossed the equator at the 180th Meridian (the international dateline). I did this when lengths of firehose, folded and taped at one end were used to whack the heck out of wogs. Wogs got up at 5 am and wore the Wog Uniform of the Day, which was white t-shirt, and pants inside out and backwards, so the zipper was right on your tailbone. Shellbacks could raise their peices of hose (called shillelaghs) at shoulder height to hit wogs, and since the wogs had to be on hands and knees, it was quite a distance."
How hot is the inner core?,Around 5650 degrees Kelvin.
why  is the lenght of the dna is different in different organisms?,Yes.  Some organisms have more bases meaning a longer DNA molecule.  Some organisms have fewer bases meaning a shorter DNA molecule.
What would happen if  you didn't have bacteria in your body?,"Bacteria assist in digesting food, but are not required (see the Wikipedia article for a reference). Without them, a person would require more food, and may have other health issues, but would be unlikely to die."
What is the perimeter of a square that has a side measure of 45cm.?,"180cm, 45*4 = 180cm"
Is the A note the only note with a rational frequency?,"Yes.  Because the frequency of the notes are a geometric sequence with a factor of 2^(1/12) between each note, and 2^(n/12) is irrational except for when n is divisible by 12.  There are 12 half-steps in an octave.\n\nThe frequency of A (just below middle C) is 220 Hz.  So the frequency of a note that is one half-step above A is 220*(2^(1/12)).  Two half-steps up is 220*(2^(2/12))."
how many kilograms does the moon weigh?,The moon weights 7.347 673×10^22 kg (or 0.0123 Earths).
How can America keep itself from becoming dominated by China in the 21st century?,Stop shop at Wal mart. I think its 80 or 90% of the goods that is sold there that is made in china.\n\nBut to put a positive angle upon this issue. Buy stuffs and understand who you support. For instance list countrys that you like and see to it that you look for products made in those countrys.
what is the area of a circle that has a diameter of 22cm?,379.94cm2
"If a person was buried in space, would the body decompose?",Yes. The bacteria in the person's body that break things down don't need oxygen in order to function.
Do horses sleep lying down?,"no, horses only sleep while standing up"
"why do Many African dream of America,?",For over two hundred years America has represented opportunity and freedom for anyone from any culture.
What would be the best way to wipe out crime?,"Nothing can wipe out the crime, as long as you dont get people in order!"
nonlinear programming?,"A Nonlinear Program (NLP) is a problem that can be put into the form\n\n    minimize   F(x)\n\n    subject to gi(x)  = 0    for i = 1, ..., m1       where m1 >= 0\n               hj(x) >= 0    for j = m1+1, ..., m     where m >= m1\n\nThat is, there is one scalar-valued function F, of several variables (x here is a vector), that we seek to minimize subject (perhaps) to one or more other such functions that serve to limit or define the values of these variables. F is called the ""objective function"", while the various other functions are called the ""constraints"". (If maximization is sought, it is trivial to do so, by multiplying F by -1.)\n\nBecause NLP is a difficult field, researchers have identified special cases for study. A particularly well studied case is the one where all the constraints g and h are linear. The name for such a problem, unsurprisingly, is ""linearly constrained optimization"". If, as well, the objective function is quadratic at most, this problem is called Quadratic Programming (QP). An even more special case of great importance is where the objective function and the constraints are entirely linear; this is called Linear Programming (LP) and is discussed in a separate FAQ list. Another important special case, called unconstrained optimization, is where there are no constraints at all.\n\nOne of the greatest challenges in NLP is that some problems exhibit ""local optima""; that is, spurious solutions that merely satisfy the requirements on the derivatives of the functions. Think of a near-sighted mountain climber in a terrain with multiple peaks, and you'll see the difficulty posed for an algorithm that tries to move from point to point only by climbing uphill. Algorithms that propose to overcome this difficulty are termed ""Global Optimization"".\n\nThe word ""Programming"" is used here in the sense of ""planning""; the necessary relationship to computer programming was incidental to the choice of name. Hence the phrase ""NLP program"" to refer to a piece of software is not a redundancy, although I tend to use the term ""code"" instead of ""program"" to avoid the possible ambiguity. \n\nThe sites below are quite good. If you want a career in Operations Research or Retailing Management, NLP is a gr8 plus to learn"
how can i find out if a person has an arrest warrant issued to them?,"If you suspect that someone has an arrest warrent out for them, either a bench warrent or felonly warrent, simply call the police.\n\nMost police departments will take the persons information and either 1. confirm or deny warrent status; or 2. come out and pick said person up and verify in person."
i pay child support to my ex girl friend for our daughter legally can i claim her on my taxes?,"Only one person may claim a child as a deduction, and only the parent who provides 51% or more of the child's support can claim him/her. The exception is if the custodial parent allows you to claim them by signing Form 8332. The top source below is a guide for non-custodial parents and the second one is Form 8332."
Will Republicans win the presidency again in 2008?,"This is obviously an opinion question... so...\nDang, I hope not."
What is an Erlang?,"The dimensionless unit named the erlang is a statistical measure of telecommunications traffic used in telephony. It is named after the Danish telephone engineer A. K. Erlang, the originator of traffic engineering and queueing theory.\n\nIn the traffic calculation, one Erlang implies a single resource in continuous use (or two channels at fifty percent use, and so on, pro rata). For example, if a bank has two tellers and they are both busy the whole time, that would represent two erlang of traffic.\n\nThe traffic measured in erlang is used to determine if a system is over- or under-provisioned (has too many or too few resources allocated).\n\nThe traffic measured over many busy hours might be used for a T1 or E1 circuit group to determine how many voice lines are in use at the busiest hours. For example, if no more than 12 out of 24 channels are ever in use at any given time, the other 12 might be made available as data channels.\n\nTraffic measured in erlang is used to calculate grade of service (GoS) or quality of service (QoS).\n\nThere are a range of different Erlang formulae, including Erlang B, Extended Erlang B, Erlang C and a related Engset formula to calculate GoS"
"if a car runs with a speed"" V"" for a period of time "" T""what will be the run distance when V=0,i need equation","if you plot it in graph form, you are saying that the car has run with speed V for the period of time T.\nSo it has covered distance VT. (Newtons Laws Of Motion). So after running the distance VT, if the V=0, then distance covered is VT\n\nYou have to use the formula s=ut+ 0.5at*t\n\ni agree with skinut's opinion, BUT the qns can be interpreted in two different ways...\nthere might be circumstances when the initial speed might be V. and then the final speed in 0. if you know the laws motion, the distance in this case will be VT. but i think skinut's answer is right for the current case. and i that case the asker really needs  help."
what are sneakers made out of?,"They are called ""sneakers"" because they make far less noise when walking then do leather-soled shoes.  You can sneak up on someone.  Originally the soles were soft rubber and the uppers were canvas.  Now leather may also be used in the uppers.  Gymn sneakers were required by most schools to play on basketball courts because the rubber soles would not scratch the highly polished varnished floors."
Who is the worst president?  and why...?,"Well, I used to think it was Richard Nixon, but at least he recognized a losing war when he saw it and cut his losses.  He had the same arrogance about the power of his office as our sitting president, but at least he managed to use that power for diplomatic good (the opening up of China).\n\nI really don't expect history to be very kind to George W. Bush, especially when we can finally know all the things his administration is keeping secret."
I'm searching for an animated describtion of a racing car engine; how it works?,www.howstuffworks.com has a lot of this sort of thing.  Try http://auto.howstuffworks.com/engine.htm for a starting point.
What is the most Southern point in America?,"In all 50 states:  Ka Lae, Hawaii\nIn the 48 contiguous states:  Key West, Florida\nIn the US and on the North American Continent:  Cape Sable, Florida\nIncluding Territories & Insular areas:  Rose Atoll, American Samoa"
Why do people obsessively eat ice during iron deficiency anemia?,"This practice is called pica.  Other examples of pica include eating starch, dirt, and clay.  It is a big problem in children, those with developmental disorders, and pregnant women.  Right now nobody really understands why this is done, but there are risk factors, iron deficiency being one of them, but also othr mineral deficiencies.  There is also clearly a cultural aspect to this.  It is thought that people who suffer from pica tend to eat non-nutritive foods, becuase it is culturally acceptable, and it may be learned from someone else.\n\n\nYou can read more about pica here:\nhttp://www.emedicine.com/ped/topic1798.htm"
how long do saturn go around the sun?,Length of Year is 29.5 years
How much longer will it take to invent teleportation?,"How long is a piece of string?\n\nNo wait a better reply would be ""How ling is a piece of string theory?""\n\nAsuming you mean teleportation of acutual objects like a human the answer will be: A LONG LONG LONG while still. If ever.\n\nIf you mean quantum teleportation (Teleporting Atoms and Electrons) then it already happened.\n\nSide Note:\n\nWhen physicists say ""teleportation"", they are describing the transfer of key properties from one particle to another without a physical link. - Paul Rincon BBC News Online science staff\n\nUsing the definition above Scientist did manage to successful teleport particles of light over a distance of 600m\n\nAs for the pea being teleported. I don't think that ever happened. If it did we would have seen it blasted all over CNN by now. (Except maybe if there was some kinda government conspiracy) I mean everybody loves a good conspiracy)\n\nIf you need more informaiton do some research on quantum teleportation. Some links to news articles.\n\nhttp://news.bbc.co.uk/2/hi/science/nature/3576594.stm\nhttp://www.newscientist.com/article.ns?id=dn1888"
What is the binding energy of hydrogen?,13.6 eV (electron volts).
Where can i find los angeles county public property records?,"LA County's County of the Assessor has this online. You can search for specific parcels, print parcel maps, and search for sales."
Why do objects in a spoon when reflected tend to appear upside down?,"Think of it this way... when light hits one side of the spoon curve, it bounces off and hits the other side of spoon curve and councer back at close to its original angle. In this way all the light wavesswitch sides, producing an ""upsidedown"" image."
What is the largest cat?,"Right now and commonly, it is the Siberian Tiger.\nA liger is bigger than a Siberian Tiger but it is uncommon and unnaturally born.\nThe Cave Lion is the biggest of all time."
How can I multiply big numbers easily ?,I think the indian technique of vedic mathematics will work for you( If you want to solve it by hand). Otherwise computers are there for your help always.Try http://www.ilovemaths.com/vedicmaths.htm
ISTR there's some trick with picking up a chair that women can do but men can't.  What is it?,"Yes, the ""trick"" is to put a straight back chair against the wall, then lean over it with you forehead against the wall, and pick up the chair.\n\nWomen can do it and men cannot. It does have to do with bone structure,  however, I cannot remember if it is hips or pelvis. But it is one of the two."
