,names,products#,marked as helpful,marked as funny,post_date,Recommend?,times on record,review
124,Fermia,123,80,30,"September 16, 2017",Recommended,306.0,Found a huge box with 10k hp.used that to block the door that hold a boss and his pals..used teleport on his minions to drag them out from the room 1 by 1  this game is the best cheese fight rpg simulator ever
125,God,597,53,3,"September 18, 2017",Recommended,64.7,"Just fantastic. I was like ""Original Sin was amazing, I don't think that it's possible to improve it a lot"" and oh boy was I wrong. It's a masterpiece.   Why are you still reading? Just buy it."
126,n00blet (AU),558,79,2,"September 17, 2016",Recommended,222.3,"Loved the first one, the second is even better. Just finished the first part of the game in about 20 hours or so. Better value than most games already and this isn't even finished. Great devs, great game. Buy this now!"
127,Maru,82,21,0,"March 26, 2017",Recommended,117.9,"Very good Act 1. At first it was pretty hard for my friend and I to get through but we managed somehow.  I always enjoy how this game allows for so many ways to deal with certain situations.  I liked the new physical/magical armor system. The only thing I wish was that they had made it easier to know what items combined to do what.  I felt like I was missing out on how the crafting system worked. Also I'm not sure on this Source pt system.  Granted you do not get much access to it till the end of Act 1 but I'm hoping this won't be something that is finite in the game.  I like to use the high level moves in combat more often,"
128,Prime,180,26,0,"October 20, 2017",Recommended,119.1,"This game made me excited to play games again. I love it, 10/10. Okay, maybe not. Assigning a number score is ♥♥♥♥ing useless anyway. I will just be critical of this game and probably talk more about the things I dislike as opposed to the things I do, everyone has already gushed enough about this game. I think it is one the best RPGs of this generation, but it's not perfect.  Extremely open ended, with lots of possible ways to approach a given objective (encounter/quest etc.) which opens up a lot of possible playstyles/roleplay choices. This however, does introduce a lot of broken sh*t, the quest log being one glaring example and I have broken a few enounters by doing X when I should have done Y first  for some arcane reason .  Characters are well written, although all the fantasy cliches are there, they are subversive to those tropes in places and each main character has a nicely rounded theme/character arc. Writing in general is nuanced and mature, serious in tone but not lacking in humour a la classic Larian. Main Quest has some interesting ideas and dynamics, but kinda falls apart by the end of act 3 imo  (Act 3 feels very endgame, only for the main villian to pull out a dues ex machina 'lolz gotcha!', only played up to the begining of act 4, so who knows, might redeem itself in the end)    Combat is a little different from Original Sin 1 because of the inclusion of the Armour system. It prevents turn 1 CC deciding battles, and I think it makes you think a bit more tactically during the initial turns but overall I think the system needs some improvements as your mindset going into each battle remains mainly the same, and it also makes some builds pretty trash (tanks, phys/ele hybrids etc). I like saving throws in D&D, a hybrid system where, for example, armour values influenced saving throws would work better imo.  I am not a fan of the character development, way too much number creep (going to the next levels means each piece of gear is instantly outclassed), gear isn't really that intersting, just get some +stats and maybe a free non-unique skill. Vitality/armour/damage scale way too high and picking stats comes down picking whatever gives you the damage multipliers for your skills. Not really engaging or meaningful. Thankfully these points can be easily solved by using mods, but mods don't influence my opinion on the design philosophy of the base game.  Tactician mode is kinda busted, maybe I need to git gud, maybe my fun Nice BuildsTM do not abuse mechanics enough. Classic mode gets too easy, too quickly. Woe is me.  Mods pls fix   Overall though, this is on par with some of the best in the genre, and Larian should be commended for their ethical kickstarter/development process. The director has alluded to extra content in the future and has admitted to some flaws so thumbs up again."
129,HOLY FUCKLES IT'S KNUCKLES,158,36,2,"September 17, 2017",Recommended,450.4,"Do you like turn based RPG's? Do you like Dungeons and Dragons? Do you like extreme replayability and beautiful graphics? Do you like good game development on all levels? Well this is the game for you. Larian Studios has quickly risen to my all time favorite game development company. They listen to their fans, they don't make money grabs, they put their heart into their games."
130,rick.activemd,166,51,2,"October 7, 2017",Recommended,174.3,"So I feel I have enough information to give a well-informed review now that I'm 36.2 hours in. I've been reading, however, that if you haven't left the island yet, you are still in the tutorial! Immediate kudos for a content-packed game.  Having played the original Divinity tile from 2002, I've seen this game develop from a Diablo-esque point-and-click action RPG to the turn-based strategy game that is now Divine Divinity: Original Sin 2. Although I've missed a game or two since then, I wasn't quite sure what the storyline was, but the game clearly helps you understand what's been going on in the world of Rivellon right from the start. The immediate immersion into the game has the amazing quality to have me asking questions and wanting to seek out the answers to those questions. I was compelled to keep playing as I see the story unfold and each decision leads to more tangled pieces of the web of mystery that I need to solve.  The combat was easy to figure out immediately and I have to give Larian Studios another amazing pat on the back for integrating Full Controller Support for a turn-based isometric RPG. One of my big turn-offs is that, although I've played for keyboard and mouse combo for many years, I like my gamepad much better and will not buy any titles that don't support it.  There's some dispute about the Tactician mode and whether or not it's too hard. Having played 8 hours in Tactician mode, I finally discovered that if I wanted to enjoy the game and be able to progress in it, that I would have to play in Classic mode. Even in Classic Mode, the fights are still difficult and I've had to play a few of those, get killed multiple times, go level up my characters and improve my gear, and then finally win. Sometimes winning just barely with half my party killed.  The character creation was a little strange from most RPGs I've played, since you aren't really locked into a particular class and you can be whatever you want, based on the allocation of your Talents and Skills. I chose to play as origin character Ifan ben-Mezd, since I wanted to find out more about the storyline and how people fit into it. The build-selection during character creation made it easy to figure out what Skills and Talents were appropriate for the style of play you wanted for your main character. I always choose a good combination of melee and magic, so Battlemage was perfect for me.  Character dialogues have an added flair to them that give you extra choices based on certain tags you have or aquire or choices specific to certain origin characters.  The voiceovers are amazing and abundant, even down to having your own personal narrator. Many RPGs don't put that level of artisitic detail into their games when it comes to audio choices.  The environment is beautifully rendered and I enjoy it in full 4K resolution on my 65in. television. Full camera control with zoom in and out makes the environment easy to navigate.  Overall notes about Divinity: Original Sin 2:  * Content-packed (packed like it could rival the amount of content in Skyrim) * Mysterious and interesting storyline that makes you want to keep playing * Combat system is easy to figure out, but beware of Tactician Mode (was too hard for me) * Full Gamepad Support in a turn-based RPG (a rare find...I would play Tyranny if it had  Gamepad support) * Detailed voiceovers and soothing soundtrack * Great-looking environment that scales well to 4K resolutions  I hope this review helps someone!"
131,Rawrihazshotgun,192,117,272,"September 25, 2016",Recommended,49.7,"The more you play D:OS 2 the more fun it becomes, for instance: Find a hard boss thats way over your level? A: Build a box fort and snipe it to death. Find some hard enemies and you're all out of boxes? A: Lure them to some nearby guards and sit back and reap the rewards. Find a hard mini boss in a dungeon? A: Teleport his♥♥♥♥♥into a cell that you've blocked off with a box and run away so he doesn't think it was you then snipe his♥♥♥♥♥ Ambushed by skeletons? A: Reload and aproach slowly with box fort. Find some nasty boxes/crates blocking your path? A: Harvest them for boxfort."
132,Comrade Electric,121,35,2,"August 9, 2017",Recommended,299.5,"An amazing game! I cannot believe how brilliant it is!  The game master mode is great, the main campaign is gripping, beautiful and sometimes hilarious, and the arena mode is a nice distraction! I just love it!  I ran 2 GM-mode campaigns, and both of them ran smoothly and were soooo much fun. We had a blast!   THANK YOU LARIAN! "
133,Lieucen,315,30,0,"September 14, 2017",Recommended,199.1,Played the ea and it was a very polished and enjoyable game even in the early stages. Then I played it on release and the game felt even more polished and looked quite better. The voice acting and sound track are top notch and the gameplay is engaging and the combat is a blast. I do find it more enjoyable playing with friends than solo so if you find it bland get some friends to play with because the game really shines in a full group.
134,Tamaster,561,40,0,"October 12, 2017",Recommended,234.5," Review - Divinity: Original Sin 2  ===   RATING: 9.5 / 10 Legendary. There is no other word for it.   Overview Divinity Original Sin 2 (from now DOS2) is the second installment of the Original Sin saga, developed by Larian Studios first time a couple years ago. Veteran RPG makers as they are, they come a long way since they made the first Divine Divinity back in the early 2000's, and also the following chapters which all were good games (No, Beyond Divinity never existed, shhh). DOS2 is a real time RPG with turn based combat, with some new twists in the classic mechanics to keep it modern.  ===   Gameplay Analysis   General Gameplay  There is so much to say about the gameplay of DOS2, there really is. First of all, the thing that astonished me the most among all the good ones, which are really a lot, is the incredible freedom given to the player in all his actions and interactions with NPCs and eventual co-op players alike. The freedom DOS2 offers is as close as it can get to pen-and-paper RPG level of freedom transported in a videogame: every NPC is killable, everything can be stolen, companions will react on what you do based on their alignement and may even become your enemies (and so can do players you fplay with in multiplayer!), there are a myriad of different dialogue options suitable for any alignment you might want to role-play about, unique dialogues for each of the story NPCs, unique race-based ones, unique background-based ones, reputation based ones... so i mean, there are so many unique combinations and things that can happen that every play-through will be very different as far as interactions go, it's all about what you do and who you are, in this Larian did a wonderful job and very few other RPGs ever have been at the same level of depth in interactions.  Other than this, gameplay is pretty much straightforward and like any other classic RPG: explore a very vast world composed of 3 huge areas, plus all the dungeons and secret places of course, loot from randomly generated pieces of gear (except unique ones, those are always the same), fight a good variety of enemies each with its own features, and mind you enemies are very different from one another in this game so you will have to use new strategies a lot, solve quests in various ways depending on your alignment of just on how you feel like doing, but remember everything has some consequences.  If i was to explain in detail all the gameplay, this would be a very very long review and would go over the Steam word limit, so i tell you this: there have maybe been 2-3 RPGs in the whole history that match the depth this one offers, don't miss it.    Combat System  Combat in DOS2 is turn based and very much classic style. Every character starts with a fixed AP number each turn (excluding buffs and debuffs of course) and they are used for both movement and actions. There is no Mana in Divinity OS2, just cooldowns for all skills, and for some, a special type of energy is required.  The new mechanics Larian decided to introduce in OS2 are mainly about how armor works: in DOS2 there are two types of armor, Magical and Physical, which act like additional health bars and nullify any debuff or damage from that specific source (magical armor counters magical damage and magical debuffs, and so on) as long as it has 1 point at least. Once an Armor is depleted it can be regenerated with some skills and potions, but while down, Debuffs and negative statuses will always afflict the targeted character, there is no such thing as success percentage, it just matters if you have still Armor or not. The elimination of RNG this way is a quite clever gameplay change, but also comes with some issues we will discuss further on.  Other than that, rest assured, there are plenty of skills and fighting schools for all tastes, from warriors to healers to summoners, there are something like 150+ skills around to build your very custom characters the way you want.    Content  Immense. There is no way you can do everything in one play-through, you will have (and want to) play this game multiple times to get all the interactions, quests, and so on. To make just one play it can very well require above 85 hours, to complete the game 100%, can require more than 200.     Balancing  There just is one but quite serious issue with balancing: based on how the Armor mechanic is structured, it is logical to think that a party basing all its damage on either Physical or Magical would defeat enemies much quicker than splitting damage between example, 2 magical and 2 physical characters. And it is exactly how it is: a party based on just 1 type of damage is much more efficient, maybe too much, in combat and can defeat most enemies with much more ease than a ""standard"" party with some magical and some physical damage.    Challenge  Tactician difficulty, the hardest, is a serious challenge if taken without the proper respect. Badly built parties will be wiped with ease and requires planning, strategy in combat and experience. Some fights really impressed and got me on the brink of madness, let me tell you, and i play RPGs since twenty years! Luckily the unlimited and free re-spec at your base and adjustable difficulty will make the game beatable even for the less experienced.  ===   Technical Analysis   Graphics  Environments and art of cutscenes are really well done. Bear in mind this game does not make graphics one of its priorities, still the visuals are quite stunning in certain environments, particle effects are well done, character models are alright, armor and weapon models are made with particular care.  The world on DOS2 is vibrant and alive, the ccharacterization of the various environments and locations is marked very distinctively, it all contributes to the immersion feeling you already get from the roleplaying part.    Sound  It is to mention that Larian decided to voice act EVERY SINGLE DIALOGUE of this game, and there are a monstrous quantity. The voice acting is also good. This alone is a huge plus. other than this, the music and sound effects are at very good standards for an RPG, no really, they are good.    Performance  Performance is alright, the game is optimized well enough but can become heavy for low to mid end machines because it renders and makes all the characters in a whole area work together at the same time so it requires some computing power some machines might not have to run everything smooth.  Also when saving the game has some inexplicably huge frame drops.    Stability  DOS2 is not really unstable, it crashes sometimes, it is bound to happen, but rarely. There are no particular stability problems.    AI  Enemy AI is one of the best i've ever seen around. They will execute complex maneuvers to get the most efficiency out of just about everything. Think of this: enemies will get shoulder attacked to walls to avoid being back-stabbed if they are supports or ranged units and there is a rogue in the enemy team. How often you see this? Never. This is the level of AI i'm talking about, the same AI that curses you with healing is damage to bypass your shield and kill you with your own healing the next turn.  Prepare to be impressed.    Quality of Life  Inventory management and interfaces are generally good, but one thing is really bad: picked up new items will constantly clutter your hotbar and having to always clean it is a chore... there is a mod that solves this (blessed modding!) but as far as the vanilla game goes this is an issue.    Bugs / Issues  Sometimes enemies will just get stuck in combat if the pathfinding becomes too complex or if they are teleported / thrown / whatever in locations they cannot walk down from. In Act 3 some voice lines and dialogues are broken and do not work properly."
135,xGhetto,86,30,2,June 9,Recommended,126.2,"I've personally been looking for an RPG with a rich story and character development which allowed co-op play for a long time now, and honestly, this 100% satisfied my need for that type of game. Played through the game twice, once solo and once with a friend, and contemplating a third playthrough soon.   9.5/10"
136,knifefail,46,168,8,"September 12, 2017",Recommended,192.2,By now im completely convinced that the only ethical developers that produce quality games with a passion are European studios such as Larian and CD Projekt Red.
137,Vince,724,29,2,July 12,Recommended,76.7,This is an outstanding turn based RPG! The coop is a plus as well. I only have about 70 hours in and haven't finished the game.   The storyline is great many characters and conversation options branching off to create different routes and methods to accomplishing your missions. The artwork is beautiful and the humor is there but not as goofy as the last game.   The true joy comes out in the combat where various techniques and magics are used in combination to create awesome effects. You can splash your enemies with water and then electrocute them for instance.   This is a great addition to the turn based genre!
138,Jerica Berezovsky,222,160,8,August 31,Recommended,556.4,"I received this for free, along with Divinity: Original Sin Enhanced Edition. Because this is what it means to be a great videogame developer. Releasing a huge content and quality of life patch, for free, because the consumers deserve the best, without hidden fees, and purchaseable DLCs. Thanks Larian, for being a Triple S company. A cut above the industry giant triple A studios."
139,TikiBob,205,407,608,"September 15, 2017",Recommended,171.5,I had my wife jailed by stealing some swords and sending her the cool new gear I found for her character. 10/10 would sleep on the couch again.
140,Shit Stain,441,19,0,"January 25, 2017",Recommended,83.6,"Divinity: Original Sin 2 improves on almost everything gameplay wise from the first game.  No longer do you have to deal with unfair elemental damage and debuffs that one-shot you, instead there's a new armour system that blocks this kind of damage more reliably, both physical and magical. This new system makes it so you manipulate the battlefield to your advantage more so than just spamming out CC spells on the enemies.  Combat is a lot smoother as they are both extremely aggressive but at the same time tactical as you aim your attacks. With the new armour system you will rely more on throwables and the environment to lower the opponents armour so that you can start controlling them with stuns or burning them.  A new addition are dialogue checks which are similar to the checks present in old isometric Fallout games where your statistics determine your ability to have a successful persuasion chance. Be careful who you use to talk to certain NPCs as now the checks are decided by your main stats and not only your persuasion stat.  Now the game is out of early access I really have to commend Larian for creating a fantastic game. They changed a few of the early fights so that they aren't too broken but at the same time switching it up enough to still make it challengeing. The new additions of polymorph skills and generous placement of source as well as tons of crafting recipes really shows Larian's commitment to making an amazing game.  Never before have I marveled at the magnificence and brilliance of an RPG as much as Divinity: Original Sin 2.  The freedom, progression, story and overall game mechanics makes this one of the best games I've ever played."
141,Polarnaut,49,38,4,August 15,Recommended,376.8,"I wont half♥♥♥♥♥this review because this game is THAT good! I found about the first part on pure luck but the combat just blew me away. Around the time I finished it, Original SIn 2 was announced and I decided to buy this game as soon as it came out. That's how much I looked forward to the game and I have to say, its the best purchase ever.   I usually wait for a discount before buying the game but this one is without a doubt WORTH the price tag. This game may seem overwhelming at first but that's what makes it sooo much fun in my opinion. Its what brings replayablitiy to the game. The glorious and satisfying combat just makes you want to keep coming back for more. There's nothing like freezing a puddle and then have Ifan trip over it. GODWOKEN DAMNIT IFAN!  The story is pretty awesome too!!! You really feel for the characters and are really invested in their adventures.  I love this game and would definitely recommend it. It's brought me faith for the single player turn-based combat rpg genre. :D"
142,texhnolyze,871,100,4,"October 4, 2017",Recommended,125.4,"Truly a divine Role Playing Game.  Divinity Original Sin 2 offers a campaign with memorable characters, interesting role-playing options, and excellent systemic combat. The environments are beautiful and the soundtrack is solid. Gameplay mechanics and player freedom create a world I could see myself revisiting with different parties just to watch the story unfold differently. It may not be for everyone but if you’re willing to invest the time this title is one that will be played over and over for years to come. Larian Studios has created a masterpiece that will go down in history as a modern classic."
143,Staypuft,536,816,293,"September 25, 2017",Recommended,261.4,This is Baldur's Gate 2 for a generation that doesn't deserve it.
144,How to make a worm sandwich,253,151,169,"September 17, 2017",Recommended,28.7,I turned an elf that hated lizards into a lizard.
145,DirtyBrownTaco,474,28,2,March 13,Recommended,71.0," Divinity: Original Sin 2 has been an utter delight from start to finish.  I use no hyperbole when I say this is the best RPG I've played thus far.   Pros   Fantastic score. Whether it be running around Fort Joy, taking in the sights on the Lady Vengeance, or amid an intense battle, the music sticks with you all the way through. I've been listening to some tracks repeatedly since first hearing them.   One of the deepest RPGs in terms of choice. A task such as escaping an island ends up having a plethora of options for you to achieve your goal. Want to sneak through a secret dungeon guarded by fire slugs? Sure why not. Want to get out simply by taking a boat? Go for it! Oh what's that? You want to cheat the system and simply teleport yourself and party into various edges until you manage your way out? You got it!   Wonderfully engaging story; filled with plenty of characters that are hard to forget. Don't forget the pet pal perk to talk to all of those animals around you! (Beware, you will be sad a lot of times talking to them.) Off put by the concept of reading a ton of dialogue? (Why are you buying this...) then worry not! Every single character (and animal) is fully voiced with some amazing VO work. However, the story did let me down in a few small ways, but I'll get to that soon.   Mods mods mods! The community has been excellent at coming up with some very inventive and fun mods to use throughout your adventure. Anything from new classes, new spells, revamping certain systems, and if you're a glutton for punishment - mods that make the game even harder. Cons  Remember how I mentioned how amazing the story was? Yeah, well that’s for the majority! As some others have mentioned, going into the final act and ending, there are some definite inconsistencies with the quality of writing and apparently attention to lore. (I've never played any other Divinity games;  I was unaware until doing further research.) For a game that boasts such a wide range of choices and how they really matter; the ending(s) seemed largely basic and almost unrelated to your adventures throughout the game.   Technical problems. Any game of this size will be bound to suffer from some technical issues, I completely get that. Overall, it was nothing major - apart from one game breaking bug I encountered causing some invisible enemies to 1 hit KO me, but luckily, I had a save from not long before that I managed to get back to and the problem seemed to have fixed itself. While the bugs weren't outright angering - in the final act I did find myself getting increasingly peeved by the buildup of several small bugs affecting my experience. At times enemies will take AGES to take their turn - leaving you to simply sit there and watch them and their idle animation until they finally realize they should be doing something.    Tech probs cont. The camera and reticule would at times completely spaz out and throw itself in a random direction and would continue to do so whenever trying to target certain areas or enemies. This may have been due to some mods interfering with the code, but at times my journal would be completely wiped of all data - leaving me to have to remember what quests I still needed to do.   Balance issues. Exploring the various locales sometimes leads you into areas where you are WOEFULLY unprepared or situations that unless you had prior knowledge, are borderline impossible to defeat. While it didn't bug me too much, I frequently encountered some dialogue/enemies that upon entering the fight would instant kill my party, use the same skill numerous times with seemingly no cooldown like the heroes, or somehow know exactly the best way to take out a party member. (Did I mention I was playing on explorer? The 'easiest' mode of them all) In the end though, I loved this game and every single minute I put into it. Some problems did irk me enough to slightly lower my score, but ultimately, I'm marking this game down as one of my favorite RPGs of all-time.  9.5/10"
146,Ethrin,894,51,3,"September 16, 2017",Recommended,68.6,"I'm still working my way through the introduction of the game (haven't gotten past the first city), but so far I'm loving it! I'm playing on the Classic difficulty, and there are two difficulties higher than this one.  My characters are now level 7, but this is still an early review, as I have yet to complete act 1.  Pros: 1.) Combat is incredibly tactical. There have been a couple of fights where I got my butt handed to me because I didn't think to exploit the terrain or the destructibles placed in the battlefield.  Height matters a lot more in this game, especially if you have a huntsman. 2.) Oddly, the soundscape is amazing.  Walking through town you can hear the bustling of people walking around. It sounds great when you're in a dungeon, along the beach, and everywhere.   3.) Voiceovers, world building, and characters has been spot on so far.  I have found some characters to be really funny, and others to be incredibly intriguing, such as Losche. 4.) The game doesn't prevent you from doing things out of order.  Once you escape from Fort Joy, it really opens up and allows you to wander around the map in any direction.   Cons: 1.) Don't get me wrong, the UI is pretty well done in this game.  However, there are some UI'isms that I would like improved.  Such as being able to send all of my ""wares"" to one character (who has the highest bartering skill).   2.) Saved game bloat bug.  Right now there is an issue with saved games getting extremely bloated to the point where it can take a long time for my computer to upload the saved games to the cloud.    Closing Thoughts: This is definitely a CRPG that has had a lot of love and time put into it.  It will ask a lot of you (time wise) to get going, but so far, it has been a really enjoyable ride!  I definitely recommend it so far, and I will update as I get further into the game.  EDIT: Updated with some more pros and cons.  (If this review isn't helpful for you, please leave a comment so that I can address them!)"
147,Chronic,154,162,9,"September 18, 2016",Recommended,9.0,"Some developers still remember how to make a good game, thumbs up for Larian!"
148,King Dickus,231,46,0,August 31,Recommended,123.9,"this game is great if you love rpg's like dnd also, after the release of the definitive edition they released an update that made this version the definitive edition. thats what good developers do  buy this and support these people"
149,Liezerota,635,46,1,"October 7, 2017",Recommended,48.9,"Alright, let me start off by saying this game offers choices... And not just the illusion of choices, every situation you encounter has so many ways to get through that it's not too improbable to say you could most likely replay this game for thousands of hours and never get bored.  This game is more or less dungeons & dragons in a game engine, while you could say other games are like dungeons & dragons this game practically IS dungeons & dragons, aside from the fact that unless you're playing game master mode you can't make things like persuasion checks in the midst of combat/etc.  It would be an injustice to call this game anything but a masterpiece, it easily sits on top of the rpg world, rivaling all including possibly my #1 rpg of all time Dungeon Crawl Stone Soup[crawl.develz.org]. If you're looking to buy the PC GOTY, then it's gotta be D:OS 2, it's far too much for me to try and describe this game... you owe it to yourself to try this game and experience it."
150,Midir,79,129,179,May 22,Recommended,146.8,-Wake up on an island -Finds a Black Cat -Cat follows me -This Cat is my everything  -Walks into a town -Walks up to a guard post with archer towers -Archer shoots and kills my innocent cat -I proceed to kill everything and everyone   gOLD   9/10
151,Saguthegreat,163,45,1,"September 16, 2017",Recommended,135.5,Pros:- Great combat mechanics and a very rich story and lore. What blows me away is that it seems like each and every dialogue in this game which has more than 1000 NPCs is completly very well voice acted. kudos to the devs!   Cons:- The game has a lot (and i mean a LOT) of sidequests/party quests and the game's quest tracker becomes too cluttered. I hope the devs include a quest marker for individual quests rather than marking all the quest waypoints on the map together.
152,[Yiff] BigLargeMcHuge,100,413,448,"September 18, 2017",Recommended,142.4,-wake-up on an island -finds a black cat -cat follows me -this cat is my everything -walks into a town -walks up to a guard post with archer towers -archer shoots and kills my innocent cat -i proceed to kill everything and everyone  Meow/10 would avenge my cat again.
153,Halwin,838,156,5,"September 28, 2017",Recommended,190.5,"C'mon, become Overwhelmingly Positive already! While at the time of writing this review, I haven't even gotten past the first Act yet, I nevertheless feel compelled to write a review for this beautiful game. For me the game's highlight is its excellently designed turn-based combat. There are no potentially pesky RNG elements and therefore every fight follows the same strict rules allowing you to have full control over how every battle plays out. There's also an insane amount of skills that are open to each and every character, and free to combine at your leisure (half of the fun is simply experimenting!). While the game is very very challenging (in a good and fair way!), I never felt the need to look up guides as with some thought you are more than able to compose your own diverse team of heroes (except maybe on hard difficulty - but don't play that until you finished Classic!). The voice acting is also superb, with tons and tons of spoken dialogue and different choices you can make. Also initiating a dialogue with another of your team members may open up a whole different story which may reveal more of the character you are interacting with or the world around you. Finally, the graphics look more than impressive enough considering the game's genre, and the level design has nothing to complain about.  Admittedly, no game is without its flaws though and I will summarise my, minor, grievances here. Inventory management is still a hassle. It's a common issue for RPGs, and I'm not sure if there ever will be a game that's perfect in that regard, but with four party members, switching items to and fro, out and in of backpacks and the like, becomes a considerable hassle. Especially when it can be hard to discern between quest items, crafting materials, fluff, and junk. To add to that, civic skills like bartering and lucky charm (increases your chance to find rare items with that player only) are not group-wide, meaning that you will have to switch items (and gold) to and fro your characters yet again to reap the maximum gold and good gear. Frankly, I don't bother with the last two because it's a serious nuisance, and it doesn't really make the game too hard without. Nevertheless a fix to this inconvenience would be appreciated. Furthermore, certain skills are either useless - initiative: determines the play order during a fight for your team only, meaning that having one at 13, then 12, 11, 10 is sufficient and any extra points are basically lost, - or certain skills provide odd bonuses - warfare: a melee oriented skill that apparantly is the best damage increase for rangers as well (I do have a ranger in my team with 5 huntsman and 0 warfare however, and he's perfectly viable on Classic. I only need to make sure he's positioned with a height advantage, which is actually how the game intended rangers to be played). Last, but not least, there's no way to change party members during a conversation, meaning that if you are forced into a dialogue (probably because he/she was closest to the conversation starter) with someone and a persuasion check needs to be passed, it is impossible to have your player with skill in pursuasion take it over (this led to frequent quickloads for me). Basically during dialogue your team members turn into mutes unless they are scripted to take part in the conversation.   I didn't intend for the second paragraph to be longer than the first, and I would recommend to pay more focus to the great things this game offers rather than the minor nuisances. I will give this game a higher rating once some (or all) of these issues are addressed, which I actually expect they will.   TL;DR: A must buy even at full price! It currently has the well deserved spot of #10th best game ever!  P.S. Feel free to reply to this review with questions; I usually reply rapidly. Also, if you decided to buy the game after reading this I'd be happy to help you out with the game, or play with you co-op if our times align! :)  Rating: 9.0/10 Halwin's 100% Completion RecommendationDifficulty: Unsure, but considering honour mode achievement I expect 9/10. Time: Expect it to be easily 150+ hours  Will update this section once I have completed the game."
154,Echoes,217,17,1,"June 25, 2017",Recommended,298.4,"Even in Early Access, D:OS2 will drop you into a world filled with interesting characters, fantastic writing, and tough decisions. I've already sunk a lot of time into the alpha, playing and replaying to explore the different characters, areas and playstyles. D:OS1 was one of my favourite games of the year, despite a few drawbacks, and the sequel already promises to exceed its predecessor.  If you want an RPG with a rich, deep story and wonderful gameplay, you're in safe hands with Larian Studios."
155,TonyMontana æ,292,30,0,"October 18, 2017",Recommended,171.2,"definitely game of the year, one of the best RPGs in every aspect, the story is magnificent, the combat is great and smooth with the interaction of all the game elements"
156,Watershipup,91,30,1,"August 7, 2017",Recommended,33.9,Having grown up playing Baldurs gate and the great Rpgs its awesome to see that finally they've put the time and effort into makling what is certainly turning out to be and should be one of the great rpg games.
157,Bad Wolf,91,21,1,"November 18, 2016",Recommended,148.6,"This game is a clear upgrade from D:OS but if you've not played the game there's some things you need to know before buying.   This is a very traditional D&D styled RPG. This means that there'll be a lot of reading, a lot of exploring, puzzles and the game is generally quite difficult if you don't pay attention. As an older gamer this is a massive throwback to the games I played as a kid, but if you're into hardcore non stop action games this is not the game for you.  With that out of the way, if you're an RPG fan and you love getting lost in a ♥♥♥♥ed up and amazing world, this is the game for you."
158,Stanley_the_Sloth,58,34,1,"September 18, 2017",Recommended,86.7,"Summary:Incredible game - the most advanced, party-based, cRPG engine out today.  Great customisation / flexibility   Multiple solutions to major quests   No ""get me 10 bear hides"" and no visible fetch and carry questsReally refreshing to play, DOS2 is a pinnacle of its kind. For the first play-through - stick to ""Origins"" characters  - i.e. more storyline that way. Technical: Graphics are colourful and vibrant.   Sound upbeat and clear.   Running this 4k ultra maxed and the framerate is ridiculously high.   15 hours in, not a single glitch / crash etc Want mwoaarr DOS!"
